colt_m4ss_stock,Colt M4SS,16,0.2,-9,-7,,,,,,,0,23.4,,8,0.2,,
lmt_pad,LMT Sopmod Buttpad,1,0.02,-1,-1,,,,,,,0,2,,,0,,
lmt_sopmod,LMT Sopmod,18,0.24,-5,-13,,,,,,,700,25,,12.4,0.31,209,
brwnls_xm177_car,Brownells XM177 CAR,16,0.14,-6,-11,,,,,,,500,24.6,,4.6,0.115,50,
cf_rubber_buttpad,CF Rubber Buttpad,1,0.03,-1,-1,,,,,,,0,1.8,,1,0.025,,
magpul_str_carbine_stock,Magpul STR Carbine,17,0.23,-9,-9,,,,,,,900,25,,12.6,0.315,84.95,
magpul_str_butt_pad,Magpul STR Carbine Buttpad,1,0.02,-1,-1,,,,,,,0,2,,,0,,
magpul_moe_sl_k_carbine_stock,Magpul MOE SL-K Carbine,18,0.17,-7,-8,,,,,,,800,25,,7.8,0.195,44.95,
magpul_moe_sl_k_carbine_stock_buttpad,Magpul MOE SL-K Carbine Buttpad,1,0.02,-1,-1,,,,,,,0,2,,,0,,
daniel_defense_collapsible_milspec_buttstock,Daniel Defense Collapsible Milspec Stock,16,0.18,-8,-10,,,,,,,900,24.8,,8,0.2,82,
daniel_defense_concave_buttpad,Daniel Defense Concave Buttpad,1,0.02,-1,-1,,,,,,,0,2,,,0,,
,,,,,,,,,,,,,0,,,,,
,CURRENT (SUMMED),,,,,,,,,,,,0,,,,,
,Hera Arms CQR Gen2,11,0.38,-8,-12,0,0,0,0,0,0,1500,17,0,19,0.435,129,887
,Colt 607 CAR-15 Stock,14,0.36,-9,-15,0,0,0,0,0,0,1000,23,,,0.15,,
,Troy M7A1,19,0.28,-6,-7,0,0,0,0,0,0,1800,22.4,,14.4,0.366,479.99,1939.97
,UTG A2 fixed stock,11,0.45,-12,-18,0,0,0,0,0,0,700,22.4,,25.4,0.531,79.97,739.91
,MDT Skeleton V5,22,0.42,-1,-1,0,-0.1,0,0,0,0,1300,15.5,,32.08,0.6312,399.95,1699.85
,MDT Skeleton V5 Short,22,0.4,-1,-1,0,-0.1,0,0,0,0,1300,15.9,,32.08,0.6312,389.95,1669.85
,Magpul UBR GEN2,13,0.44,-15,-8,0,-0.1,0,0,0,0,1100,21.5,,21.7,0.4755,199.95,1099.85
,Magpul PRS Gen2,20,0.54,-4,-6,0,-0.1,0,0,0,0,1500,16.5,,31.8,0.627,303.25,1409.75
,Hera HRS Light Fixed,13,0.32,-8,-9,0,-0.1,0,0,0,0,1300,18.9,,15.6,0.384,154.9,964.7
,Doublestar ACE M4 SOCOM Gen4,16,0.38,-10,-10,0,0,0,0,0,0,1000,22.4,,20,0.45,244.99,1234.97
,SB Tactical Vector Brace,18,0.31,-3,-3,0,0,0,0,0,0,500,16,,15.4,0.381,0,500
,Fortis LA,16,0.34,-13,-7,0,0,0,0,0,0,1500,23.8,,20.6,0.459,402.9,1708.7
,HK Slim Line,15,0.4,-6,-20,0,0,0,0,0,0,1600,23.8,,17.8,0.417,302.9,1408.7
,Strike Industries Viper MOD1 Stock,18,0.3,-8,-9,0,0,0,0,0,0,1100,23.8,,11.4,0.321,98.9,796.7
,MOE Carbine,17,0.35,-11,-10,0,0,0,0,0,0,1400,24.8,,13.2,0.348,97.9,793.7
,AR TR2,16,0.39,-9,-14,0,0,0,0,0,0,1400,23.8,,20.3,0.4545,302.95,1408.85
,VLtor Emod,14,0.425,-12,-13,0,0,0,0,0,0,1300,22.9,,18.8,0.432,250.9,1252.7
,Magpul PRS Gen3 Stock,20,0.56,-6,-4,0,-0.1,0,0,0,0,2100,16.5,,32.6,0.639,312.9,1438.7
,Hera Arms CSS,14,0.35,-10,-13,0,0,0,0,0,0,1200,22.8,,14.3,0.3645,112.85,838.55
,Kalashnikov Concern AK-12 Gen 1,15,0.36,-13,-8,0,0,0,0,0,0,1350,23,,14.8,0.372,52.95,658.85
,Colt M4SS,15,0.34,-10,-8,0,0,0,0,0,0,600,21,,12.8,0.342,52.95,658.85
,LMT Sopmod,18,0.4,-7,-15,0,0,0,0,0,0,1300,24.6,,17.2,0.408,261.95,1285.85
,Brownells XM177 CAR,16,0.31,-8,-13,0,0,0,0,0,0,1100,24,,10.4,0.306,102.95,808.85
,Magpul STR Carbine,17,0.39,-11,-11,0,0,0,0,0,0,1500,24.6,,17.4,0.411,137.9,913.7
,Magpul MOE SL-K Carbine,18,0.33,-9,-10,0,0,0,0,0,0,1400,24.6,,12.6,0.339,97.9,793.7
,Daniel Defense Collapsible Milspec Stock,16,0.34,-10,-12,0,0,0,0,0,0,1500,24.4,,12.8,0.342,134.95,904.85
